application_id,borrower_id,application_date,approval_date,time_to_decision,application_status,amount_requested,approved_amount,interest_rate,term,ltv_ratio,combined_ltv,loan_purpose,credit_score,annual_income,property_value
HEL-2022-0026,B09756,2022-06-16,2022-06-30,15,Approved,150000,142000,4.20,360,73.1,80.0,Home Improvement,790,138000,525000
HEL-2022-0027,B09778,2022-06-23,2022-07-07,14,Approved,68000,65000,4.85,180,56.8,63.5,Medical Expenses,725,83000,315000
HEL-2022-0028,B09795,2022-07-01,,19,Denied,130000,0,0,240,84.8,94.1,Debt Consolidation,620,70000,375000
HEL-2022-0029,B09823,2022-07-07,2022-07-21,15,Approved,88000,85000,4.55,240,60.5,67.2,Home Improvement,740,102000,370000
HEL-2022-0030,B09845,2022-07-14,2022-07-28,14,Approved,58000,58000,4.90,120,45.5,52.8,Education Expenses,715,78000,340000
HEL-2022-0031,B09867,2022-07-20,2022-08-04,16,Approved,108000,105000,4.40,240,65.8,72.5,Debt Consolidation,755,114000,420000
HEL-2022-0032,B09889,2022-07-27,,11,Pending,185000,0,0,360,88.8,96.2,Home Improvement,630,80000,455000
HEL-2022-0033,B09912,2022-08-03,2022-08-17,14,Approved,72000,70000,4.70,180,57.5,64.2,Medical Expenses,735,87000,335000
HEL-2022-0034,B09934,2022-08-10,2022-08-24,14,Approved,102000,98000,4.50,240,64.1,70.8,Debt Consolidation,750,112000,410000
HEL-2022-0035,B09956,2022-08-17,2022-08-28,11,Approved,42000,42000,5.00,120,43.1,49.5,Home Improvement,730,84000,275000
HEL-2022-0036,B09978,2022-08-24,,26,Withdrawn,160000,0,0,360,86.5,94.8,Debt Consolidation,640,73000,415000
HEL-2022-0037,B10001,2022-09-01,2022-09-15,14,Approved,78000,75000,4.65,180,58.8,65.3,Education Expenses,745,93000,345000
HEL-2022-0038,B10023,2022-09-07,2022-09-22,15,Approved,118000,115000,4.35,240,67.5,74.2,Home Improvement,770,124000,450000
HEL-2022-0039,B10045,2022-09-14,2022-09-28,14,Approved,92000,88000,4.60,240,62.1,68.8,Debt Consolidation,755,108000,380000
HEL-2022-0040,B10067,2022-09-20,,10,Pending,135000,0,0,240,83.0,91.5,Home Improvement,645,76000,370000
HEL-2022-0041,B10089,2022-09-27,2022-10-12,15,Approved,62000,60000,4.80,180,53.5,60.2,Medical Expenses,720,81000,310000
HEL-2022-0042,B10101,2022-10-05,2022-10-19,14,Approved,122000,118000,4.30,360,68.8,75.5,Debt Consolidation,775,128000,460000
HEL-2022-0043,B10123,2022-10-12,2022-10-23,11,Approved,52000,52000,4.85,120,46.8,53.5,Home Improvement,730,85000,315000
HEL-2022-0044,B10145,2022-10-19,,18,Denied,128000,0,0,240,86.2,94.8,Debt Consolidation,605,68000,345000
HEL-2022-0045,B10167,2022-10-26,2022-11-10,15,Approved,72000,70000,4.75,180,57.8,64.5,Education Expenses,735,89000,330000
HEL-2022-0046,B10189,2022-11-02,2022-11-17,15,Approved,102000,98000,4.45,240,64.5,71.2,Home Improvement,760,118000,405000
HEL-2022-0047,B10201,2022-11-09,2022-11-23,14,Approved,48000,48000,4.90,120,44.0,50.5,Medical Expenses,725,80000,300000
HEL-2022-0048,B10223,2022-11-16,,13,Pending,180000,0,0,360,87.8,95.5,Debt Consolidation,625,77000,450000
HEL-2022-0049,B10245,2022-11-23,2022-12-08,15,Approved,92000,88000,4.55,240,62.8,69.5,Home Improvement,745,103000,375000
HEL-2022-0050,B10267,2022-11-30,2022-12-15,15,Approved,138000,132000,4.25,360,72.1,79.0,Debt Consolidation,780,135000,490000
HEL-2022-0051,B10289,2022-12-07,2022-12-21,14,Approved,68000,65000,4.80,180,55.8,62.5,Education Expenses,740,88000,325000
HEL-2022-0052,B10301,2022-12-14,,21,Denied,122000,0,0,240,83.5,92.2,Debt Consolidation,615,72000,335000
HEL-2022-0053,B10323,2022-12-21,2023-01-04,13,Approved,78000,75000,4.70,180,59.2,66.0,Home Improvement,750,94000,350000
HEL-2023-1001,B10045,2023-01-05,2023-01-15,10,Approved,85000,80000,5.25,180,65.2,72.3,Home Improvement,745,95000,325000
HEL-2023-1002,B10089,2023-01-12,2023-01-25,13,Approved,120000,115000,4.85,240,68.7,75.4,Debt Consolidation,780,125000,450000
HEL-2023-1003,B10134,2023-01-18,2023-01-28,10,Approved,45000,45000,5.75,120,45.5,52.6,Education Expenses,710,82000,275000
HEL-2023-1004,B10156,2023-01-20,2023-01-29,9,Approved,65000,60000,5.35,180,55.8,62.1,Medical Expenses,725,78000,310000
HEL-2023-1005,B10187,2023-01-25,,14,Denied,95000,0,0,240,82.5,91.3,Debt Consolidation,620,63000,290000
HEL-2023-1006,B10210,2023-02-03,2023-02-15,12,Approved,150000,140000,4.95,360,72.3,79.8,Home Improvement,765,145000,520000
HEL-2023-1007,B10245,2023-02-08,2023-02-21,13,Approved,50000,50000,5.15,120,42.8,48.5,Home Improvement,735,92000,325000
HEL-2023-1008,B10267,2023-02-10,,15,Denied,175000,0,0,240,88.4,95.7,Debt Consolidation,640,89000,410000
HEL-2023-1009,B10289,2023-02-15,2023-02-28,13,Approved,70000,65000,5.45,180,58.7,65.4,Education Expenses,715,84000,285000
HEL-2023-1010,B10305,2023-02-22,2023-03-08,14,Approved,110000,105000,5.05,240,65.5,72.1,Debt Consolidation,755,105000,435000
HEL-2023-1011,B10356,2023-03-02,2023-03-15,13,Approved,130000,125000,4.75,360,69.8,76.3,Home Improvement,790,132000,475000
HEL-2023-1012,B10378,2023-03-08,2023-03-18,10,Approved,55000,52000,5.55,120,48.7,55.2,Medical Expenses,720,79000,290000
HEL-2023-1013,B10405,2023-03-15,,21,Withdrawn,200000,0,0,360,90.1,97.4,Debt Consolidation,660,95000,480000
HEL-2023-1014,B10432,2023-03-20,2023-04-02,13,Approved,80000,75000,5.20,180,62.5,68.9,Home Improvement,730,86000,340000
HEL-2023-1015,B10456,2023-03-28,2023-04-10,13,Approved,95000,90000,5.10,240,64.3,70.8,Debt Consolidation,750,110000,385000
HEL-2023-1016,B10489,2023-04-05,2023-04-18,13,Approved,145000,140000,4.80,360,71.5,78.2,Home Improvement,775,135000,510000
HEL-2023-1017,B10512,2023-04-12,2023-04-22,10,Approved,60000,58000,5.30,120,49.5,56.8,Education Expenses,725,81000,310000
HEL-2023-1018,B10534,2023-04-16,,16,Denied,120000,0,0,240,84.7,93.5,Debt Consolidation,615,68000,345000
HEL-2023-1019,B10567,2023-04-24,2023-05-08,14,Approved,75000,70000,5.25,180,60.8,67.2,Medical Expenses,735,88000,325000
HEL-2023-1020,B10598,2023-05-02,2023-05-15,13,Approved,100000,95000,5.00,240,63.8,70.1,Home Improvement,760,118000,395000
HEL-2023-1021,B10623,2023-05-10,2023-05-23,13,Approved,125000,120000,4.90,360,68.5,75.7,Debt Consolidation,770,129000,460000
HEL-2023-1022,B10645,2023-05-18,2023-05-28,10,Approved,40000,40000,5.60,120,41.5,47.8,Home Improvement,740,90000,280000
HEL-2023-1023,B10678,2023-05-25,,8,Pending,180000,0,0,360,86.3,94.2,Debt Consolidation,675,98000,450000
HEL-2023-1024,B10701,2023-06-01,2023-06-12,11,Approved,85000,80000,5.15,180,59.7,66.3,Education Expenses,755,92000,365000
HEL-2023-1025,B10725,2023-06-08,2023-06-20,12,Approved,115000,110000,4.95,240,67.2,73.9,Debt Consolidation,765,122000,440000
HEL-2023-1026,B10756,2023-06-15,2023-06-29,14,Approved,155000,145000,4.70,360,73.8,80.5,Home Improvement,795,140000,530000
HEL-2023-1027,B10778,2023-06-22,2023-07-05,13,Approved,70000,68000,5.35,180,57.5,64.1,Medical Expenses,730,85000,320000
HEL-2023-1028,B10795,2023-06-30,,18,Denied,135000,0,0,240,85.6,94.8,Debt Consolidation,625,72000,380000
HEL-2023-1029,B10823,2023-07-05,2023-07-19,14,Approved,90000,85000,5.05,240,61.8,68.5,Home Improvement,745,104000,375000
HEL-2023-1030,B10845,2023-07-12,2023-07-25,13,Approved,60000,60000,5.40,120,46.2,53.5,Education Expenses,720,80000,345000
HEL-2023-1031,B10867,2023-07-18,2023-08-02,15,Approved,110000,105000,4.90,240,66.5,73.2,Debt Consolidation,760,116000,425000
HEL-2023-1032,B10889,2023-07-25,,10,Pending,190000,0,0,360,89.5,96.8,Home Improvement,635,82000,460000
HEL-2023-1033,B10912,2023-08-02,2023-08-15,13,Approved,75000,72000,5.20,180,58.1,64.7,Medical Expenses,740,89000,340000
HEL-2023-1034,B10934,2023-08-08,2023-08-21,13,Approved,105000,100000,5.00,240,64.8,71.3,Debt Consolidation,755,114000,415000
HEL-2023-1035,B10956,2023-08-15,2023-08-25,10,Approved,45000,45000,5.50,120,43.8,50.2,Home Improvement,735,86000,280000
HEL-2023-1036,B10978,2023-08-22,,25,Withdrawn,165000,0,0,360,87.2,95.3,Debt Consolidation,645,75000,420000
HEL-2023-1037,B11001,2023-08-30,2023-09-12,13,Approved,80000,76000,5.15,180,59.3,65.8,Education Expenses,750,95000,350000
HEL-2023-1038,B11023,2023-09-05,2023-09-19,14,Approved,120000,115000,4.85,240,68.1,74.6,Home Improvement,775,126000,455000
HEL-2023-1039,B11045,2023-09-12,2023-09-25,13,Approved,95000,90000,5.10,240,62.7,69.3,Debt Consolidation,760,110000,385000
HEL-2023-1040,B11067,2023-09-18,,9,Pending,140000,0,0,240,83.6,92.1,Home Improvement,650,78000,375000
HEL-2023-1041,B11089,2023-09-25,2023-10-09,14,Approved,65000,62000,5.30,180,54.2,60.9,Medical Expenses,725,83000,315000
HEL-2023-1042,B11101,2023-10-03,2023-10-16,13,Approved,125000,120000,4.80,360,69.5,76.2,Debt Consolidation,780,130000,465000
HEL-2023-1043,B11123,2023-10-10,2023-10-20,10,Approved,55000,55000,5.35,120,47.5,54.3,Home Improvement,735,87000,320000
HEL-2023-1044,B11145,2023-10-17,,17,Denied,130000,0,0,240,86.9,95.4,Debt Consolidation,610,70000,350000
HEL-2023-1045,B11167,2023-10-24,2023-11-07,14,Approved,75000,72000,5.25,180,58.5,65.3,Education Expenses,740,91000,335000
HEL-2023-1046,B11189,2023-11-01,2023-11-15,14,Approved,105000,100000,4.95,240,65.2,71.8,Home Improvement,765,120000,410000
HEL-2023-1047,B11201,2023-11-08,2023-11-21,13,Approved,50000,50000,5.40,120,44.6,51.2,Medical Expenses,730,82000,305000
HEL-2023-1048,B11223,2023-11-15,,12,Pending,185000,0,0,360,88.3,96.1,Debt Consolidation,630,79000,455000
HEL-2023-1049,B11245,2023-11-22,2023-12-06,14,Approved,95000,90000,5.05,240,63.5,70.2,Home Improvement,750,105000,380000
HEL-2023-1050,B11267,2023-11-29,2023-12-13,14,Approved,140000,135000,4.75,360,72.8,79.5,Debt Consolidation,785,138000,495000
HEL-2023-1051,B11289,2023-12-05,2023-12-18,13,Approved,70000,68000,5.30,180,56.3,63.2,Education Expenses,745,90000,330000
HEL-2023-1052,B11301,2023-12-12,,20,Denied,125000,0,0,240,84.1,92.7,Debt Consolidation,620,74000,340000
HEL-2023-1053,B11323,2023-12-19,2023-12-31,12,Approved,80000,78000,5.20,180,59.8,66.5,Home Improvement,755,96000,355000
HEL-2024-2001,B11345,2024-01-04,2024-01-15,11,Approved,88000,85000,5.75,180,66.5,73.2,Home Improvement,750,98000,335000
HEL-2024-2002,B11367,2024-01-11,2024-01-25,14,Approved,125000,120000,5.35,240,69.8,76.5,Debt Consolidation,785,130000,460000
HEL-2024-2003,B11389,2024-01-17,2024-01-28,11,Approved,48000,48000,6.25,120,46.8,53.5,Education Expenses,715,85000,285000
HEL-2024-2004,B11401,2024-01-22,2024-02-01,10,Approved,68000,65000,5.85,180,57.2,63.8,Medical Expenses,730,80000,320000
HEL-2024-2005,B11423,2024-01-29,,15,Denied,98000,0,0,240,83.8,92.5,Debt Consolidation,625,65000,300000
HEL-2024-2006,B11445,2024-02-05,2024-02-18,13,Approved,155000,145000,5.45,360,73.5,80.8,Home Improvement,770,150000,530000
HEL-2024-2007,B11467,2024-02-12,2024-02-26,14,Approved,52000,52000,5.65,120,44.2,50.5,Home Improvement,740,95000,335000
HEL-2024-2008,B11489,2024-02-19,,16,Denied,180000,0,0,240,89.5,96.8,Debt Consolidation,645,92000,420000
HEL-2024-2009,B11501,2024-02-26,2024-03-11,14,Approved,72000,68000,5.95,180,59.8,66.5,Education Expenses,720,86000,295000
HEL-2024-2010,B11523,2024-03-04,2024-03-18,15,Approved,115000,110000,5.55,240,66.8,73.5,Debt Consolidation,760,115000,445000
HEL-2024-2011,B11545,2024-03-11,2024-03-25,14,Approved,135000,130000,5.25,360,70.8,77.5,Home Improvement,795,135000,485000
HEL-2024-2012,B11567,2024-03-18,2024-03-29,11,Approved,58000,55000,6.05,120,49.8,56.5,Medical Expenses,725,82000,300000
HEL-2024-2013,B11589,2024-03-25,,22,Withdrawn,205000,0,0,360,91.2,98.5,Debt Consolidation,665,98000,490000
HEL-2024-2014,B11601,2024-04-01,2024-04-15,14,Approved,82000,78000,5.70,180,63.5,70.2,Home Improvement,735,88000,350000
HEL-2024-2015,B11623,2024-04-08,2024-04-22,14,Approved,98000,95000,5.60,240,65.5,72.1,Debt Consolidation,755,112000,395000
HEL-2024-2016,B11645,2024-04-15,2024-04-29,14,Approved,150000,145000,5.30,360,72.5,79.2,Home Improvement,780,140000,520000
HEL-2024-2017,B11667,2024-04-22,2024-05-03,11,Approved,62000,60000,5.80,120,50.5,57.8,Education Expenses,730,83000,320000
HEL-2024-2018,B11689,2024-04-29,,17,Denied,125000,0,0,240,85.8,94.5,Debt Consolidation,620,70000,355000
HEL-2024-2019,B11701,2024-05-06,2024-05-20,14,Approved,78000,75000,5.65,180,61.2,68.0,Medical Expenses,735,87000,330000
HEL-2024-2020,B11723,2024-05-13,2024-05-27,14,Approved,118000,112000,5.40,240,67.5,74.2,Debt Consolidation,765,125000,450000
HEL-2024-2021,B11745,2024-05-20,2024-06-03,14,Approved,160000,150000,5.15,360,74.2,81.0,Home Improvement,785,145000,540000
HEL-2024-2022,B11767,2024-05-27,2024-06-07,11,Approved,45000,45000,5.90,120,42.5,49.2,Education Expenses,740,92000,290000
HEL-2024-2023,B11789,2024-06-03,,10,Pending,195000,0,0,360,90.5,97.8,Debt Consolidation,680,100000,470000
HEL-2024-2024,B11801,2024-06-10,2024-06-24,14,Approved,88000,85000,5.55,180,60.5,67.2,Home Improvement,755,98000,365000
HEL-2024-2025,B11823,2024-06-17,2024-07-01,14,Approved,128000,122000,5.25,240,68.8,75.5,Debt Consolidation,770,128000,470000
HEL-2024-2026,B11845,2024-06-24,2024-07-08,14,Approved,72000,70000,5.75,180,58.2,65.0,Medical Expenses,735,86000,325000
HEL-2024-2027,B11867,2024-07-01,,18,Denied,140000,0,0,240,87.2,95.8,Debt Consolidation,630,75000,365000
HEL-2024-2028,B11889,2024-07-08,2024-07-22,14,Approved,95000,90000,5.45,240,63.8,70.5,Home Improvement,750,105000,385000
HEL-2024-2029,B11901,2024-07-15,2024-07-29,14,Approved,65000,62000,5.85,120,48.5,55.2,Education Expenses,725,84000,315000
HEL-2024-2030,B11923,2024-07-22,2024-08-06,15,Approved,130000,125000,5.20,360,70.2,77.0,Debt Consolidation,775,132000,475000
HEL-2024-2031,B11945,2024-07-29,,11,Pending,185000,0,0,360,89.8,97.2,Home Improvement,640,82000,450000
HEL-2024-2032,B11967,2024-08-05,2024-08-19,14,Approved,78000,75000,5.60,180,59.5,66.2,Medical Expenses,745,90000,340000
HEL-2024-2033,B11989,2024-08-12,2024-08-26,14,Approved,110000,105000,5.30,240,66.2,73.0,Debt Consolidation,760,118000,425000
HEL-2024-2034,B12001,2024-08-19,2024-08-30,11,Approved,48000,48000,5.80,120,44.8,51.5,Home Improvement,735,88000,295000
HEL-2024-2035,B12023,2024-08-26,,26,Withdrawn,170000,0,0,360,88.5,96.2,Debt Consolidation,650,78000,425000
HEL-2024-2036,B12045,2024-09-02,2024-09-16,14,Approved,85000,82000,5.50,180,60.8,67.5,Education Expenses,750,96000,360000
HEL-2024-2037,B12067,2024-09-09,2024-09-23,14,Approved,125000,120000,5.15,240,68.5,75.2,Home Improvement,780,130000,465000
HEL-2024-2038,B12089,2024-09-16,2024-09-30,14,Approved,98000,95000,5.40,240,64.2,71.0,Debt Consolidation,765,115000,400000
HEL-2024-2039,B12101,2024-09-23,,10,Pending,145000,0,0,240,84.5,93.2,Home Improvement,655,80000,380000
HEL-2024-2040,B12123,2024-09-30,2024-10-14,14,Approved,68000,65000,5.70,180,55.5,62.2,Medical Expenses,730,85000,320000
HEL-2024-2041,B12145,2024-10-07,2024-10-21,14,Approved,132000,128000,5.10,360,71.2,78.0,Debt Consolidation,785,135000,480000
HEL-2024-2042,B12167,2024-10-14,2024-10-25,11,Approved,58000,58000,5.65,120,48.2,55.0,Home Improvement,740,90000,325000
HEL-2024-2043,B12189,2024-10-21,,18,Denied,135000,0,0,240,87.5,96.0,Debt Consolidation,615,72000,355000
HEL-2024-2044,B12201,2024-10-28,2024-11-11,14,Approved,78000,75000,5.55,180,59.8,66.5,Education Expenses,745,93000,340000
HEL-2024-2045,B12223,2024-11-04,2024-11-18,14,Approved,108000,105000,5.25,240,66.5,73.2,Home Improvement,770,122000,420000
HEL-2024-2046,B12245,2024-11-11,2024-11-25,14,Approved,52000,52000,5.75,120,45.5,52.2,Medical Expenses,735,84000,310000
HEL-2024-2047,B12267,2024-11-18,,13,Pending,190000,0,0,360,89.2,97.0,Debt Consolidation,635,80000,460000
HEL-2024-2048,B12289,2024-11-25,2024-12-09,14,Approved,98000,95000,5.35,240,64.5,71.2,Home Improvement,755,108000,395000
HEL-2024-2049,B12301,2024-12-02,2024-12-16,14,Approved,145000,140000,5.05,360,73.5,80.2,Debt Consolidation,790,142000,510000
HEL-2024-2050,B12323,2024-12-09,2024-12-23,14,Approved,72000,70000,5.60,180,57.8,64.5,Education Expenses,750,92000,335000
HEL-2024-2051,B12345,2024-12-16,,21,Denied,128000,0,0,240,85.2,94.0,Debt Consolidation,625,76000,345000
HEL-2024-2052,B12367,2024-12-23,,12,Pending,82000,0,0,180,60.5,67.2,Home Improvement,760,98000,360000
