application_id,borrower_id,application_date,approval_date,time_to_decision,application_status,amount_requested,approved_amount,interest_rate,term,ltv_ratio,combined_ltv,loan_purpose,credit_score,annual_income,property_value
sdv-id-ujzNCY,sdv-pii-ie44c,2024-07-21,2024-06-13,15,Approved,42365,36636,6.25,240,42.0,48.4,Education Expenses,782,90245,292752
sdv-id-qdcLMR,sdv-pii-k7ku7,2024-09-06,2024-11-19,15,Approved,80010,2422,6.12,180,77.2,86.4,Debt Consolidation,656,76437,330694
sdv-id-SWaHbP,sdv-pii-bjhiy,2024-02-02,2024-02-18,12,Approved,116082,43946,6.25,240,52.4,56.7,Home Improvement,795,126725,489151
sdv-id-OnEmtj,sdv-pii-3vq1g,2023-07-22,2023-09-07,12,Approved,130549,169,0.07,360,75.6,82.4,Home Improvement,752,68297,399171
sdv-id-uWFeQS,sdv-pii-ysfmm,2022-01-11,2022-02-19,15,Denied,142936,4062,6.05,180,84.8,91.9,Home Improvement,640,67891,362798
sdv-id-tZGGIG,sdv-pii-bh6xh,2023-10-23,2023-11-14,11,Approved,111757,73229,6.25,360,56.3,59.9,Home Improvement,792,138118,494270
sdv-id-qKkvsE,sdv-pii-banqj,2024-04-26,2023-06-15,14,Approved,128081,6534,6.23,180,70.9,76.2,Home Improvement,731,98302,391285
sdv-id-ajMwXV,sdv-pii-decs7,2022-11-30,2023-02-19,13,Approved,110163,4604,5.96,180,64.7,71.5,Debt Consolidation,706,96462,412827
sdv-id-fGYdfy,sdv-pii-19nd1,2024-10-23,,17,Denied,173269,10879,6.25,120,83.3,88.8,Medical Expenses,792,108574,480931
sdv-id-OZNjZB,sdv-pii-96xal,2023-01-06,2022-10-13,10,Approved,48827,14199,6.25,240,48.1,55.8,Debt Consolidation,767,69719,279180
sdv-id-fcjZzS,sdv-pii-a6at8,2024-12-03,2024-09-20,15,Approved,126555,29764,6.25,360,61.1,65.8,Debt Consolidation,795,146814,498829
sdv-id-SJQQMX,sdv-pii-cvlbw,2023-12-10,2023-04-28,15,Approved,150345,4962,2.95,120,82.6,88.5,Home Improvement,760,109646,484172
sdv-id-oBpWNJ,sdv-pii-jjvs1,2024-09-02,2024-07-22,15,Approved,168384,7758,6.2,240,84.7,91.7,Debt Consolidation,763,103750,492858
sdv-id-amsjHW,sdv-pii-1oz86,2023-10-26,2023-12-29,15,Approved,165616,31761,6.25,360,84.9,91.8,Education Expenses,788,137125,431680
sdv-id-rIwctV,sdv-pii-5dn00,2023-06-12,2023-04-11,12,Pending,99327,803,0.84,240,72.0,77.8,Home Improvement,761,77613,377165
sdv-id-rthzFb,sdv-pii-tey01,2024-07-06,,11,Approved,115651,11431,6.25,360,61.8,67.0,Debt Consolidation,794,130791,518397
sdv-id-MrnbYv,sdv-pii-kvxnt,2022-06-20,2022-05-19,16,Pending,172743,1498,0.06,360,88.8,96.3,Debt Consolidation,768,133555,527096
sdv-id-BpZZUP,sdv-pii-a6lwq,2023-10-09,2023-08-07,17,Pending,183216,62,0.0,240,90.2,97.6,Home Improvement,737,68297,478138
sdv-id-jlteWW,sdv-pii-ceu8t,2022-01-07,2022-01-18,13,Approved,48943,98628,6.25,240,42.0,48.1,Education Expenses,790,99246,302831
sdv-id-UFhfYz,sdv-pii-zlk35,2022-09-27,2022-07-29,11,Pending,53143,14269,6.25,240,49.0,55.9,Home Improvement,755,74518,314799
sdv-id-XSWIDa,sdv-pii-853bq,2022-09-10,,14,Denied,169504,1725,1.98,180,89.0,96.1,Home Improvement,690,81730,484703
sdv-id-teqcCI,sdv-pii-44728,2022-01-15,,13,Approved,41648,55940,6.25,240,41.3,47.5,Home Improvement,794,71095,290603
sdv-id-XwDEKi,sdv-pii-jlpue,2023-09-04,2023-09-26,16,Pending,86322,36,0.0,240,76.2,85.8,Home Improvement,619,65966,342856
sdv-id-TqWgbX,sdv-pii-eeoqs,2022-03-05,2022-09-10,15,Pending,175159,88,0.01,240,88.6,95.8,Debt Consolidation,685,69960,478517
sdv-id-ylDNGM,sdv-pii-lxfge,2022-05-15,2022-10-30,12,Approved,81604,5504,6.24,360,63.1,70.1,Home Improvement,737,72755,323786
sdv-id-GrAIpN,sdv-pii-za0y1,2023-05-24,2022-11-08,13,Pending,161568,0,0.0,240,86.3,93.8,Home Improvement,611,63061,381804
sdv-id-uccIsR,sdv-pii-6axgy,2024-05-05,,13,Approved,103851,37986,6.25,240,54.2,58.2,Home Improvement,792,123004,486949
sdv-id-jAJXAW,sdv-pii-ouv6b,2024-01-10,2023-11-28,13,Approved,63798,68313,6.25,240,44.8,51.1,Medical Expenses,731,89974,310439
sdv-id-oCaiiR,sdv-pii-bpniq,2022-08-06,,15,Approved,119283,5242,6.2,180,68.3,73.6,Home Improvement,720,73318,338831
sdv-id-dIgqfp,sdv-pii-3o6e2,2022-04-21,,10,Approved,71266,52973,6.25,180,45.5,51.0,Debt Consolidation,795,128058,399765
sdv-id-janiqM,sdv-pii-9u20u,2022-11-04,,16,Pending,127232,3262,3.9,360,74.1,81.2,Home Improvement,713,102250,419909
sdv-id-gztYVo,sdv-pii-jk1km,2023-11-25,,13,Approved,76326,22658,6.25,360,53.2,60.1,Home Improvement,788,100845,415425
sdv-id-TiobQw,sdv-pii-hfaha,2024-08-12,,14,Approved,120374,10325,6.25,180,76.1,81.9,Debt Consolidation,776,69932,361212
sdv-id-MNHjbF,sdv-pii-xibpq,2024-04-06,2023-09-02,13,Pending,103303,2628,6.15,240,70.5,77.7,Education Expenses,742,76197,321016
sdv-id-EAhMBY,sdv-pii-s7dru,2024-06-12,,11,Approved,161713,1004,2.19,240,86.8,94.8,Home Improvement,741,110073,380992
sdv-id-ykSskR,sdv-pii-zc5oe,2023-12-29,2024-05-17,11,Denied,134605,16241,6.25,120,78.2,85.1,Debt Consolidation,746,125821,460670
sdv-id-BhTLqD,sdv-pii-zby9u,2024-10-17,2024-11-29,14,Withdrawn,191283,507,0.02,120,89.1,96.8,Home Improvement,776,118460,518839
sdv-id-KMpDxc,sdv-pii-2k55f,2022-05-07,,16,Approved,116885,56238,6.25,240,59.3,64.3,Debt Consolidation,775,119772,460139
sdv-id-tzbIHF,sdv-pii-f7tcs,2024-11-07,2024-03-27,11,Approved,87098,12616,6.25,360,54.3,60.8,Education Expenses,785,109044,454926
sdv-id-QPbgew,sdv-pii-pzd56,2023-05-31,2023-08-08,16,Pending,158110,951,0.04,120,87.5,94.8,Home Improvement,771,91433,504093
sdv-id-YIqyMJ,sdv-pii-bs2uj,2022-11-12,,13,Approved,64291,320,4.76,120,52.3,57.2,Medical Expenses,610,62064,271413
sdv-id-DDFnaL,sdv-pii-zdkn9,2024-09-09,2024-10-21,11,Denied,104120,1213,2.92,360,70.1,76.9,Home Improvement,722,81854,410140
sdv-id-LldHUc,sdv-pii-3goeu,2024-03-14,,14,Approved,48679,9197,6.25,120,45.9,52.3,Debt Consolidation,664,105127,293128
sdv-id-yDPRlB,sdv-pii-0ojq5,2023-10-20,2023-08-13,12,Approved,182542,16296,6.25,240,87.9,94.6,Education Expenses,754,126296,483579
sdv-id-rwMtSr,sdv-pii-7y55v,2024-04-01,2024-08-21,16,Approved,93256,37336,6.25,240,64.7,72.8,Debt Consolidation,794,110608,461036
sdv-id-izaOLp,sdv-pii-zirl4,2024-06-03,2023-12-29,11,Approved,143368,2343,2.96,360,70.8,78.8,Home Improvement,726,139493,486121
sdv-id-oTXPoe,sdv-pii-tswjb,2023-09-08,2024-08-19,13,Approved,88507,89565,6.25,120,57.5,63.0,Home Improvement,795,140329,501681
sdv-id-qbCXhZ,sdv-pii-zaqwm,2023-08-17,2022-11-29,15,Approved,87309,3240,6.17,180,67.1,73.6,Debt Consolidation,641,72761,360375
sdv-id-mEJRyO,sdv-pii-k2re3,2022-11-03,2022-12-29,13,Pending,180154,3,0.0,240,89.0,95.6,Education Expenses,632,70174,383332
sdv-id-eOWXkP,sdv-pii-yycy8,2022-02-04,2022-04-04,11,Approved,58941,103506,6.25,240,43.0,48.7,Medical Expenses,791,138369,383012
sdv-id-FxgIch,sdv-pii-cx87x,2023-11-17,2022-12-10,12,Approved,53397,21885,6.25,180,43.8,49.4,Medical Expenses,775,67493,316933
sdv-id-ezfowU,sdv-pii-mbsi8,2024-02-03,2023-12-02,16,Approved,100291,96,0.01,240,75.3,83.2,Debt Consolidation,709,63031,323209
sdv-id-oqorhZ,sdv-pii-h8cz7,2022-05-15,2022-07-28,12,Approved,49803,57323,6.25,180,43.7,49.7,Home Improvement,795,117658,282412
sdv-id-GZdBFv,sdv-pii-h01vo,2024-06-08,,14,Approved,45161,8125,6.25,120,44.3,51.2,Education Expenses,694,70685,268889
sdv-id-FRqGQF,sdv-pii-4lqwi,2023-08-15,2023-07-29,14,Approved,68193,530,3.9,180,60.2,64.7,Debt Consolidation,619,63046,297544
sdv-id-srtzwz,sdv-pii-2uhiy,2023-03-09,2023-06-30,12,Approved,61218,4728,6.25,120,51.6,58.8,Debt Consolidation,729,66074,287087
sdv-id-XMHlnh,sdv-pii-qfqyl,2023-02-19,,9,Approved,59459,34859,6.25,120,46.3,52.6,Education Expenses,783,98568,335270
sdv-id-lthVIh,sdv-pii-1les5,2022-02-20,2022-12-05,19,Approved,192636,4415,4.19,120,89.9,97.0,Home Improvement,780,123510,528923
sdv-id-OGijkK,sdv-pii-p3rin,2023-06-15,2023-02-21,21,Approved,118778,6973,6.18,240,74.1,80.7,Home Improvement,758,98144,387908
sdv-id-WAoOpi,sdv-pii-9r5rp,2022-10-14,,11,Approved,93800,8512,6.25,240,58.4,63.5,Debt Consolidation,708,100518,431418
sdv-id-ckCDBC,sdv-pii-mrqx6,2022-08-08,,14,Approved,101369,111716,6.25,240,52.2,55.2,Education Expenses,795,142254,417902
sdv-id-IZnJVb,sdv-pii-cep15,2024-06-22,2023-12-19,13,Denied,140517,13108,6.25,240,72.7,79.8,Home Improvement,736,125916,474673
sdv-id-BPHuEP,sdv-pii-639rm,2022-07-25,2022-06-16,13,Approved,67896,92158,6.25,180,56.1,61.9,Debt Consolidation,794,108395,338377
sdv-id-paEfMv,sdv-pii-gle1i,2024-06-10,,11,Approved,65163,2661,6.19,180,58.4,66.7,Home Improvement,686,68051,287245
sdv-id-pueFrW,sdv-pii-k2nii,2022-05-15,,17,Approved,132858,1628,1.5,360,76.7,83.3,Home Improvement,638,92178,486687
sdv-id-LAVFPK,sdv-pii-6e0pr,2022-06-13,2023-10-05,19,Approved,119321,1205,1.3,240,75.7,83.6,Debt Consolidation,745,68003,406004
sdv-id-cnnWQE,sdv-pii-po9uc,2023-02-08,2022-08-25,12,Approved,66551,3916,6.25,180,59.7,66.9,Medical Expenses,623,64195,277594
sdv-id-SarZok,sdv-pii-h5dv6,2024-03-14,,13,Approved,44743,77926,6.25,180,42.6,49.1,Debt Consolidation,751,119798,309418
sdv-id-tKghls,sdv-pii-tag18,2022-10-14,2023-05-12,13,Approved,45704,8518,6.25,180,46.0,52.8,Medical Expenses,690,61466,268775
sdv-id-ZSPROk,sdv-pii-wb3gq,2024-02-02,2023-05-31,17,Approved,89853,5375,6.24,180,59.0,65.1,Home Improvement,706,94446,336405
sdv-id-HeBmYZ,sdv-pii-yrl9y,2022-06-12,2022-07-06,14,Denied,170794,14110,6.23,360,80.5,84.8,Home Improvement,794,135883,534443
sdv-id-azpDdg,sdv-pii-rsbul,2022-10-10,2022-06-11,11,Pending,112625,1576,2.27,360,67.5,76.1,Medical Expenses,753,88097,439716
sdv-id-ovnyEa,sdv-pii-6sxcl,2022-04-15,,10,Approved,41024,96957,6.25,240,40.8,47.1,Home Improvement,795,100268,311035
sdv-id-siTLRS,sdv-pii-2z9jc,2023-09-30,2023-01-30,17,Approved,168873,24926,6.25,360,81.3,86.2,Debt Consolidation,761,123755,534902
sdv-id-xtTAFC,sdv-pii-369a0,2022-01-31,,15,Denied,75087,736,3.25,180,68.9,77.3,Education Expenses,717,62734,281546
sdv-id-RwIbKf,sdv-pii-rsfv5,2022-09-04,2023-01-14,13,Denied,147976,5980,5.05,360,77.6,83.6,Debt Consolidation,785,107158,481260
sdv-id-TWNuGd,sdv-pii-fqpm0,2024-03-27,2023-12-25,10,Denied,61932,20565,6.25,240,48.1,53.9,Education Expenses,728,89452,365890
sdv-id-KhbTcM,sdv-pii-x1j0z,2022-05-05,2022-08-18,14,Approved,111070,4164,6.12,360,73.6,81.0,Home Improvement,708,92363,358105
sdv-id-LZBuxF,sdv-pii-n2l36,2024-04-07,2024-06-12,17,Approved,125308,16909,6.25,240,71.1,77.9,Debt Consolidation,781,119481,475050
sdv-id-TIFIlK,sdv-pii-ssirw,2022-09-09,2023-04-07,16,Approved,141674,17882,6.25,120,75.4,83.8,Medical Expenses,788,100304,414213
sdv-id-srZOUJ,sdv-pii-a8zxv,2023-02-14,2022-10-02,15,Pending,89379,661,4.42,120,57.1,63.7,Education Expenses,712,74592,352771
sdv-id-ALjEjl,sdv-pii-q5qg5,2023-03-16,,11,Approved,62016,52847,6.25,240,46.3,52.5,Debt Consolidation,787,110171,377974
sdv-id-VVGIJM,sdv-pii-vxn7a,2024-06-16,2024-06-11,14,Approved,76415,2286,4.95,360,55.6,64.9,Home Improvement,662,111234,371125
sdv-id-DtqLGa,sdv-pii-11avw,2022-04-04,2022-01-29,12,Approved,134567,441,0.01,360,77.8,84.1,Home Improvement,668,130424,497889
sdv-id-iiWAcU,sdv-pii-j6dpk,2022-09-22,2022-11-25,26,Denied,169847,1725,0.03,360,87.2,94.9,Home Improvement,732,74831,482858
sdv-id-wtEeve,sdv-pii-dfhhw,2022-03-01,2022-06-07,14,Approved,88690,13824,6.25,180,61.6,65.2,Debt Consolidation,787,73811,331662
sdv-id-UIYBZD,sdv-pii-al1f6,2022-05-29,2022-12-16,19,Approved,129200,19426,6.25,360,71.3,80.2,Education Expenses,792,109274,450897
sdv-id-XxywTg,sdv-pii-26y5c,2024-10-11,2024-09-15,17,Approved,99256,10443,6.25,240,60.5,65.5,Debt Consolidation,783,73504,453463
sdv-id-xxZzwC,sdv-pii-bq4v2,2023-01-28,2023-07-01,10,Withdrawn,74794,2250,6.2,120,58.1,66.2,Medical Expenses,764,69143,314163
sdv-id-heFPbk,sdv-pii-g1w0g,2024-08-01,2024-02-08,21,Approved,150560,6808,6.04,360,82.4,90.1,Debt Consolidation,709,133253,478344
sdv-id-KQToam,sdv-pii-nx9s4,2023-02-21,2022-09-21,11,Pending,50367,82,0.06,240,50.9,57.9,Debt Consolidation,637,61140,271139
sdv-id-huGLHa,sdv-pii-r762n,2022-12-21,2023-06-17,12,Pending,197930,477,0.19,360,89.3,96.6,Home Improvement,704,107732,494907
sdv-id-RBnNKH,sdv-pii-yyil8,2024-11-24,2023-08-30,20,Approved,150896,995,0.1,360,81.1,87.2,Home Improvement,761,124115,428594
sdv-id-jsHGUm,sdv-pii-f67sw,2023-01-13,2023-02-28,13,Approved,70303,65532,6.25,240,49.4,56.7,Home Improvement,795,127010,471350
sdv-id-JJUwBd,sdv-pii-zgkj9,2024-08-11,2024-03-31,12,Approved,114757,11336,6.25,360,70.6,75.6,Debt Consolidation,771,108657,380063
sdv-id-EfoMpC,sdv-pii-6c3ki,2024-07-26,2023-09-27,17,Approved,63555,2471,6.17,240,56.4,62.3,Medical Expenses,661,64586,296693
sdv-id-sNinYH,sdv-pii-pmw0k,2022-07-01,,12,Pending,145925,2939,6.02,120,75.0,81.4,Medical Expenses,716,78610,415905
sdv-id-UGfDmO,sdv-pii-up7kf,2024-09-14,2024-10-15,13,Approved,167919,4755,3.81,360,75.5,81.0,Debt Consolidation,778,103842,524846
sdv-id-LatkJI,sdv-pii-bjpeq,2024-08-01,2024-02-24,15,Approved,53170,31831,6.25,120,41.3,47.5,Home Improvement,786,124538,357320
sdv-id-qinKzB,sdv-pii-rqpa8,2022-03-27,2022-10-21,14,Approved,133950,39725,6.25,180,64.0,69.3,Home Improvement,762,115945,450302
sdv-id-qBxdsK,sdv-pii-2x2g0,2022-04-10,2022-04-16,15,Denied,100875,5165,6.2,180,71.4,77.5,Education Expenses,728,68778,324034
sdv-id-SDOfNx,sdv-pii-bx3it,2023-03-12,2023-05-28,9,Approved,88443,18787,6.25,120,55.9,62.1,Medical Expenses,780,74465,329031
sdv-id-Iglbfm,sdv-pii-c81nb,2023-11-28,,16,Approved,125725,2187,4.53,120,83.0,90.7,Medical Expenses,701,83509,397927
sdv-id-cZBNjP,sdv-pii-oz1d9,2024-06-06,2023-03-03,15,Pending,118773,159,0.4,180,87.5,94.8,Home Improvement,642,63637,294101
sdv-id-kYFwJV,sdv-pii-2kqo0,2023-02-02,2022-10-04,12,Approved,128536,10598,6.25,120,70.7,77.1,Medical Expenses,777,100665,446803
sdv-id-ktHsbF,sdv-pii-8z97r,2022-09-29,,15,Approved,106680,41381,6.25,180,69.0,72.1,Medical Expenses,788,92680,370864
sdv-id-WflpLY,sdv-pii-mx9o2,2022-11-07,,17,Pending,159775,16,0.0,360,87.5,94.4,Home Improvement,624,70199,411931
sdv-id-SoYoQI,sdv-pii-ql5iz,2024-10-09,2024-10-28,15,Approved,92751,36864,6.25,240,59.3,63.5,Home Improvement,792,104491,458728
sdv-id-SnrIjS,sdv-pii-apjcy,2024-01-12,2024-06-12,13,Pending,91428,7043,6.25,180,60.8,68.1,Education Expenses,694,86362,324217
sdv-id-agriWP,sdv-pii-n7vex,2022-09-16,2023-02-17,14,Approved,56139,41155,6.25,180,49.3,56.3,Home Improvement,732,118078,330109
sdv-id-XDFIao,sdv-pii-ivqog,2022-03-31,2022-05-17,10,Pending,156768,16200,6.25,360,77.4,84.1,Home Improvement,794,129597,462998
sdv-id-EmdVRw,sdv-pii-e9zby,2022-04-02,2022-08-17,14,Approved,109859,11082,6.25,240,67.2,74.1,Debt Consolidation,765,76634,374165
sdv-id-eaunya,sdv-pii-s7brr,2024-11-16,2024-11-06,14,Approved,126542,61065,6.25,240,68.4,74.2,Home Improvement,795,144668,507291
sdv-id-Sliesq,sdv-pii-0js1u,2024-12-21,,12,Approved,106644,36701,6.25,240,64.9,69.7,Medical Expenses,718,109780,490102
sdv-id-TnwXlY,sdv-pii-vnge2,2023-12-23,,18,Pending,201695,0,0.0,240,91.1,98.4,Debt Consolidation,609,64921,469297
sdv-id-wnOsMR,sdv-pii-2y61w,2022-11-27,,17,Approved,131313,2724,0.91,120,80.3,87.6,Debt Consolidation,729,101100,463258
sdv-id-lyQEwx,sdv-pii-83eah,2023-11-10,2023-06-02,12,Approved,48397,57241,6.25,180,45.8,52.2,Medical Expenses,750,110463,284784
sdv-id-yDuSeT,sdv-pii-lna6h,2023-11-13,2023-08-30,11,Approved,83553,87797,6.25,360,50.5,56.0,Education Expenses,794,139096,482764
sdv-id-LzeaEo,sdv-pii-1trkl,2024-02-19,2023-03-21,12,Approved,117649,40210,6.25,360,61.4,67.1,Home Improvement,792,140602,491118
sdv-id-ZDJYPr,sdv-pii-eyqw4,2023-09-08,,16,Approved,52988,55919,6.25,180,45.1,50.5,Debt Consolidation,795,75662,334191
sdv-id-AueOzN,sdv-pii-hd3to,2022-11-18,,13,Approved,58173,712,4.77,360,57.1,64.5,Debt Consolidation,636,67045,287019
sdv-id-lXwFnt,sdv-pii-3off1,2023-10-18,2023-06-02,10,Approved,68619,33801,6.25,240,54.3,61.1,Education Expenses,775,97116,301726
sdv-id-vBkAYK,sdv-pii-ioikn,2023-11-30,2023-12-13,20,Approved,166382,4100,6.14,360,79.0,85.1,Debt Consolidation,736,91416,469003
sdv-id-zfClbP,sdv-pii-26mzt,2024-09-24,2023-11-24,12,Approved,111973,1549,4.01,360,70.7,77.9,Debt Consolidation,750,72415,387078
sdv-id-yCnQCh,sdv-pii-t7pv0,2022-08-14,2022-11-27,15,Approved,74431,14546,6.25,120,51.1,57.1,Debt Consolidation,794,85102,381066
sdv-id-hJGwdw,sdv-pii-zx9ar,2022-12-05,,16,Approved,101454,29757,6.25,240,67.9,74.0,Home Improvement,794,118730,471484
sdv-id-zJoFzd,sdv-pii-6p3mf,2022-11-16,2022-06-15,13,Approved,55625,1625,5.79,240,56.2,64.1,Education Expenses,616,61745,268584
sdv-id-AAfYXC,sdv-pii-et4jy,2023-02-07,2022-12-30,13,Approved,78262,62857,6.25,180,53.4,59.4,Medical Expenses,752,99354,349873
sdv-id-FItpIj,sdv-pii-p7rxp,2022-05-03,,19,Approved,146132,16264,6.25,240,71.5,76.9,Debt Consolidation,743,87921,452885
sdv-id-eHfwOe,sdv-pii-k3uc5,2023-06-10,2022-11-25,12,Approved,136383,20875,6.25,360,79.8,87.1,Debt Consolidation,749,117505,489566
sdv-id-eZbCWr,sdv-pii-5iwqp,2023-06-04,2024-05-21,14,Approved,55292,26630,6.25,180,47.4,53.6,Medical Expenses,788,79400,315629
sdv-id-ujuDlw,sdv-pii-jlas4,2023-12-11,2023-09-13,16,Approved,52632,7284,6.25,180,47.7,54.0,Education Expenses,707,69998,279122
sdv-id-BrzlfN,sdv-pii-g4gzk,2023-05-12,2023-06-03,13,Pending,189021,56,0.0,360,88.9,95.7,Home Improvement,680,118837,514675
sdv-id-NrEmFU,sdv-pii-ffknb,2024-11-03,2024-10-09,11,Denied,97185,649,1.34,360,66.0,75.0,Home Improvement,662,92030,396959
sdv-id-uHftzd,sdv-pii-6yxu0,2023-08-11,2024-01-14,12,Approved,40864,17893,6.25,120,41.2,47.6,Debt Consolidation,683,71687,266946
sdv-id-vCEVdD,sdv-pii-1b5sm,2022-02-07,2022-03-24,9,Approved,40321,29185,6.25,360,41.1,47.4,Home Improvement,649,62158,266989
sdv-id-BLBKuG,sdv-pii-dww83,2024-03-29,2024-06-26,13,Approved,122995,31089,6.25,240,71.0,77.8,Debt Consolidation,781,135501,486955
sdv-id-kuLIfQ,sdv-pii-94e1y,2022-11-04,2023-02-27,13,Approved,179640,3485,2.74,240,89.1,96.2,Home Improvement,794,102484,447781
sdv-id-inQPvu,sdv-pii-3vtja,2022-07-07,,15,Approved,200979,4223,3.36,360,90.7,98.0,Education Expenses,722,118562,532828
sdv-id-tTmVyx,sdv-pii-ley49,2022-06-13,2022-11-05,14,Approved,51204,17622,6.25,240,48.5,54.8,Education Expenses,778,78909,274506
sdv-id-zlZmZY,sdv-pii-irh97,2022-08-27,2023-06-16,14,Approved,109717,12163,6.25,240,75.8,83.2,Debt Consolidation,672,100272,461255
sdv-id-EwqtgY,sdv-pii-nz9qy,2022-09-23,2022-09-01,12,Pending,107995,81,0.01,240,77.4,85.2,Home Improvement,624,62891,305111
sdv-id-BNgHZv,sdv-pii-qk4g7,2023-11-12,2024-04-11,10,Denied,118351,113,0.06,240,79.0,85.4,Home Improvement,629,84463,323316
sdv-id-bLVvzf,sdv-pii-71blr,2024-01-28,2023-12-27,14,Pending,197216,0,0.0,120,90.9,98.3,Home Improvement,610,61253,411457
sdv-id-bYKpwh,sdv-pii-l8s85,2022-10-23,2023-06-13,10,Approved,113570,159,0.04,360,69.3,77.2,Education Expenses,612,71514,393327
sdv-id-fiVaZw,sdv-pii-i8obg,2022-04-02,,14,Pending,63308,13387,6.25,240,56.5,64.8,Debt Consolidation,745,82320,329530
sdv-id-IqRpbv,sdv-pii-k5zf3,2023-04-27,2023-11-04,11,Approved,66046,7986,6.25,120,52.1,58.0,Home Improvement,768,80283,327907
sdv-id-FAaOHp,sdv-pii-mj6eb,2022-01-12,2022-02-17,18,Approved,125740,79,0.0,180,82.1,89.7,Debt Consolidation,653,62339,299945
sdv-id-CckfGJ,sdv-pii-csas0,2024-05-30,2024-05-21,10,Approved,104824,51221,6.25,360,54.6,59.0,Home Improvement,794,140773,495208
sdv-id-ElKhvj,sdv-pii-2gdly,2022-09-03,2022-08-11,14,Approved,81914,76336,6.25,360,45.3,51.5,Home Improvement,795,140193,505667
sdv-id-CKATyU,sdv-pii-csvza,2022-03-19,,11,Approved,117677,12111,6.25,240,71.9,77.6,Home Improvement,685,77389,368078
sdv-id-ZrJEbB,sdv-pii-t924d,2022-08-19,2023-01-30,15,Denied,80708,5195,6.24,180,73.7,79.8,Debt Consolidation,635,69544,287364
sdv-id-KwzqgO,sdv-pii-1tgyz,2022-05-06,,17,Approved,80611,4057,6.15,240,60.3,66.1,Home Improvement,722,101524,403031
sdv-id-JQVSwL,sdv-pii-mrcu4,2024-04-24,2023-12-08,13,Approved,170575,6470,6.01,180,84.0,90.6,Debt Consolidation,753,89083,511747
sdv-id-KPLCEu,sdv-pii-19jra,2022-11-26,2022-07-12,11,Approved,48822,19904,6.25,180,43.9,50.1,Debt Consolidation,720,75070,277518
sdv-id-KanJZS,sdv-pii-qy4u1,2022-06-13,2023-03-09,13,Approved,103605,12588,6.25,240,71.7,80.2,Debt Consolidation,773,83606,379036
sdv-id-LRlrJd,sdv-pii-8j0fr,2022-05-29,,13,Approved,132107,16658,6.25,120,67.8,73.5,Home Improvement,795,127013,471127
sdv-id-sjhoBX,sdv-pii-a7wvk,2022-03-11,2022-03-21,12,Approved,57322,6344,6.24,360,50.1,57.2,Home Improvement,746,89559,396872
sdv-id-euTpNU,sdv-pii-vhuv0,2022-11-14,2023-01-26,20,Denied,193754,495,0.18,240,90.6,97.8,Medical Expenses,626,71086,447773
